,Date,Region,Depth,Magnitude,Deaths,Total damage
145,05/07/1964,Nw. Honshu Island,,6.6,0,
146,05/07/1964,Nw. Honshu Island,14 km,6.9,0,
147,05/21/1962,Off Coast Of Honshu Island,,5.7,0,
148,04/30/1962,Honshu (Sendai),30 km,6.8,1,
149,04/23/1962,"Se. Hokkaido Island, Japan",,0.0,0,
150,04/12/1962,Sanriku,43 km,7.2,0,
151,11/15/1961,Se. Hokkaido Island,,0.0,0,
152,08/19/1961,Honshu (W Coast),,7.3,10,
153,08/11/1961,Se. Hokkaido Island,,0.0,0,
154,07/18/1961,Ryukyu Islands,,0.0,0,
155,02/26/1961,Miyazaki,48 km,7.3,2,
156,01/16/1961,Kashima,,0.0,0,
157,01/16/1961,Kashima,,0.0,0,
158,01/16/1961,Kashima,,0.0,0,
159,07/29/1960,Sanriku,45 km,6.7,0,
160,03/23/1960,Sanriku,,6.7,0,
161,03/20/1960,Sanriku,30 km,7.5,0,
162,10/26/1959,"Sanriku, Japan",,0.0,0,
163,01/22/1959,"Sanriku, Japan",,0.0,0,
164,03/11/1958,Ryukyu Islands,56 km,7.5,0,
165,08/12/1956,Izu Peninsula,37 km,6.5,0,
166,03/05/1956,"Ne. Hokkaido Island, Japan",,0.0,0,
167,11/18/1954,Honshu (Miyagi Prefecture),55 km,6.5,0,
168,11/25/1953,Kashima,,7.4,1,
169,03/09/1952,Hokkaido,,7.1,0,
170,03/04/1952,Hokkaido,41 km,8.1,33,
